,name,price,location,rating,cancelation,specifications,link
32,Cà dal Bosc e Cà sgrüscia,"$1,661","Maggia, Cantón del Tesino",empty,empty,50 m² Casa ∙ 1 habitación ∙ 2 personas,/rental/682734f558206c9b3e3e38955a47c701?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
33,Agri Scinghiöra,"$1,440","Lavizzara, Cantón del Tesino",empty,Cancelación gratuita,12 m² Casa rural ∙ 1 habitación ∙ 4 personas,/rental/8c4645026c925ae396c4ced0ec447673?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
34,Chalet Vieux Bisse - magnífico para 6 personas,"$2,183","Riddes, Cantón del Valais",empty,Cancelación gratuita,100 m² Casa ∙ 2 habitaciones ∙ 6 personas,/rental/77b9a8c75a49da87a941a18a8e549f11?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
35,Bijou en el lago de Lucerna,"$1,937","Küssnacht am Rigi, Schwyz",empty,Cancelación gratuita,50 m² Apartamento ∙ 1 habitación ∙ 4 personas,/rental/e1f4c9a3398de248464852d830dce8f0?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
36,"Parque natural de Gantrisch con estanque y sauna, bajo petición cocina regional, entrenamiento","$1,384","Rüeggisberg, Cantón de Berna",empty,Cancelación gratuita,50 m² Apartamento ∙ 1 habitación ∙ 4 personas,/rental/8e47c7d3a25f05dcd52140797d6cecf2?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
37,Ayoba,"$4,152","Wiler (Lötschen), Cantón del Valais",empty,Cancelación gratuita,100 m² Casa ∙ 3 habitaciones ∙ 6 personas,/rental/3baeec0b3e9701e6cb7d001e5ba15e32?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
38,Apartamento de 4 estrellas con una vista fantástica.,"$1,609","Beatenberg, Cantón de Berna",empty,Cancelación gratuita,65 m² Casa ∙ 2 habitaciones ∙ 4 personas,/rental/c4a36eea482ed99815ccf0ef7f26c910?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
39,Chalet Adler,"$1,109","Grächen, Cantón del Valais",empty,Cancelación gratuita,150 m² Apartamento ∙ 3 habitaciones ∙ 5 personas,/rental/1d067ff0bea83a929586b100ccd28f00?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
40,Appartement cosy au centre de Grimentz,"$1,114","Grimentz, Cantón del Valais",empty,empty,40 m² Apartamento ∙ 1 habitación ∙ 2 personas,/rental/85f5627ad7bc37ef62dcb9d94e530e3e?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
41,Altogold Swiss Holidays At Manor Farm 5,"$1,229","Unterseen, Cantón de Berna",empty,Cancelación gratuita,25 m² Casa ∙ 2 habitaciones ∙ 4 personas,/rental/dd150260682bc495f39191c1c6becffe?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
42,Bühlen,"$1,276","Grindelwald, Cantón de Berna",empty,Muy solicitado,48 m² Casa ∙ 3 habitaciones ∙ 5 personas,/rental/1021164c927e0ac8bf2e1ee6a1055b60?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&bathrooms=1&pricetype=totalPrice&timestamp=2021-03-28T20%3A39%3A33%2B02%3A00&id=5e9634098e0f54e1&directId=1021164c927e0ac8bf2e1ee6a1055b60&searchId=abf6fdb4fbcda363&screen=search&isHotel=0&pa=not_allowed&blts=1616956773&clickId=2LGRL8QXNNW53FQR&sT=withDates&pCon=1405.9589017254%7CUSD%7C2021-06-01%7C13%7C2%7C1616956773%7C0%7C0%7C1616956773%7C2%7C0%7C0&prodName=JM&prodSource=Search
43,Rustico Ca'd'Damunt,"$1,907","Cevio, Cantón del Tesino",empty,Muy solicitado,130 m² Casa ∙ 3 habitaciones ∙ 5 personas,/rental/45a5cc5639dfabf05c40c054b812579e?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&bathrooms=1&pricetype=totalPrice&timestamp=2021-03-28T20%3A39%3A33%2B02%3A00&id=9d824b70a6005c25&directId=45a5cc5639dfabf05c40c054b812579e&searchId=abf6fdb4fbcda363&screen=search&isHotel=0&pa=not_allowed&blts=1616956773&clickId=VQP96V64787QWCK7&sT=withDates&pCon=2012.5701235746%7CUSD%7C2021-06-01%7C13%7C2%7C1616956773%7C0%7C0%7C1616956773%7C2%7C0%7C0&prodName=JM&prodSource=Search
44,"Beatenberg, amplio y tranquilo apartamento de 1 habitación con Wi-Fi / WLAN, balcón, vista","$1,384","Beatenberg, Cantón de Berna",empty,Cancelación gratuita,45 m² Apartamento ∙ 2 personas,/rental/20d45a8aa05784657419347c7d400b36?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
45,Brandholz,$877,"Ebnat-Kappel, Sankt Gallen",empty,Muy solicitado,55 m² Apartamento ∙ 1 habitación ∙ 4 personas,/rental/798c1cc6fc038bc9a5dc04140e392108?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&bathrooms=1&pricetype=totalPrice&timestamp=2021-03-28T20%3A39%3A28%2B02%3A00&id=match563889b90a930&directId=798c1cc6fc038bc9a5dc04140e392108&searchId=abf6fdb4fbcda363&screen=search&isHotel=0&pa=not_allowed&blts=1616956768&clickId=PZLT4PPDJ3T01C83&sT=withDates&pCon=940.07197238313%7CUSD%7C2021-06-01%7C13%7C2%7C1616956768%7C0%7C0%7C1616956768%7C2%7C0%7C0&prodName=JM&prodSource=Search
46,Bodmihus 2 Bett Wohnung,"$1,331","Grindelwald, Cantón de Berna",empty,Muy solicitado,28 m² Apartamento ∙ 1 habitación ∙ 2 personas,/rental/844a78a2d1dec5fda3e462ededafb669?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&bathrooms=1&pricetype=totalPrice&timestamp=2021-03-28T20%3A39%3A33%2B02%3A00&id=3da9cf53f4cb4dd0&directId=844a78a2d1dec5fda3e462ededafb669&searchId=abf6fdb4fbcda363&screen=search&isHotel=0&pa=not_allowed&blts=1616956773&clickId=DG1505RRGHN1ZMHV&sT=withDates&pCon=1330.2558111486%7CUSD%7C2021-06-01%7C13%7C2%7C1616956773%7C0%7C0%7C1616956773%7C2%7C0%7C0&prodName=JM&prodSource=Search
47,"Casa de vacaciones en un lugar hermoso, tranquilo, vistas al lago Maggiore, piscina","$2,921","Minusio, Cantón del Tesino",empty,Cancelación gratuita,60 m² Casa ∙ 2 habitaciones ∙ 5 personas,/rental/da95742a02ec492b3b7a3b7113afefd3?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
48,Estudio romántico con vistas al lago Maggiore y los Alpes,"$1,845","Ronco sopra Ascona, Cantón del Tesino",empty,Piscina,43 m² Casa ∙ 2 personas,/rental/8fb385ff13e58e4a6800517cb86a1a4b?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
49,Mayi's Gädi,"$3,599","Zermatt, Cantón del Valais",empty,empty,60 m² Chalet ∙ 2 personas,/rental/match56e17cadad38b?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&pricetype=totalPrice&searchId=abf6fdb4fbcda363
50,Casa de vacaciones Tecc 'dnaas,"$1,292","Semione, Cantón del Tesino",empty,empty,50 m² Casa ∙ 1 habitación ∙ 3 personas,/rental/6f7431bbd46abc9aab7a3784d2059088?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&bathrooms=1&pricetype=totalPrice&timestamp=2021-03-28T20%3A39%3A34%2B02%3A00&id=aa0ef3efe0c57b34&directId=6f7431bbd46abc9aab7a3784d2059088&searchId=abf6fdb4fbcda363&screen=search&isHotel=0&blts=1616956774&clickId=WXSQP8HDKTBRM1V0&sT=withDates&pCon=1291.2%7CUSD%7C2021-06-01%7C13%7C2%7C1616956774%7C0%7C0%7C1616956774%7C2%7C0%7C0&prodName=JM&prodSource=Search
51,Charmantes Rustico nahe Lugano,"$1,830","Capriasca, Cantón del Tesino",empty,Muy solicitado,126 m² Casa ∙ 3 habitaciones ∙ 6 personas,/rental/350a8a1a47f03edcd480faaa83235c1e?duration=13&location=5460aea910151&arrival=2021-06-01&persons=2&adults=2&bedrooms=1&bathrooms=1&pricetype=totalPrice&timestamp=2021-03-28T20%3A39%3A34%2B02%3A00&id=784828e32fcbf5de&directId=350a8a1a47f03edcd480faaa83235c1e&searchId=abf6fdb4fbcda363&screen=search&isHotel=0&pa=not_allowed&blts=1616956774&clickId=WL6VW28ZXQYRSD3H&sT=withDates&pCon=2073.0824805901%7CUSD%7C2021-06-01%7C13%7C2%7C1616956774%7C0%7C0%7C1616956774%7C2%7C0%7C0&prodName=JM&prodSource=Search
